"","X0","X1","MeanDecreaseAccuracy","MeanDecreaseGini"
"var15",39.9338069278452,32.5591979954313,45.1025307771162,381.703936830692
"var38",5.64884873930794,8.21228128462917,7.99551797808769,341.689419426104
"saldo_medio_var5_ult3",26.7044098817078,-16.1611925927894,26.8245191814399,152.646016923854
"saldo_var30",32.2386293258295,-18.3116154429976,32.2235692189516,145.084414005325
"saldo_medio_var5_hace2",26.1154760340631,-15.2698715023906,26.1717529023414,125.890880765366
"saldo_var42",24.4271719501486,-15.6801871309922,24.4616680607588,125.863717772363
"saldo_medio_var5_hace3",19.9590794780296,-11.8056342974284,19.7524044717471,125.641531305642
"saldo_medio_var5_ult1",23.9491940101412,-15.0435198596627,24.0922069272325,106.627403581637
"num_var45_hace3",36.8612038622847,-23.8821138239388,35.9865079889361,96.5959038840698
"num_var45_hace2",33.9520554891413,-24.3570593380067,33.8004484685751,96.0594851275924
"saldo_var5",22.4795019835788,-13.2722654850365,22.5299412557683,95.7219422170871
"imp_op_var39_ult1",18.5227164814193,-7.39734705511719,18.939275646079,80.3813077476882
"num_var45_ult1",33.2532940081156,-24.4912548440741,32.9199834806965,78.3261353591662
"num_med_var45_ult3",27.4582193316269,-20.6546363513478,27.362745080403,77.0107919966682
"num_var22_hace2",28.4939308744381,-18.5202158271431,28.1726687463056,66.2868379948101
"imp_op_var41_comer_ult3",16.2342133143242,-10.5240804004222,16.0579667412989,62.1315187716627
"num_var22_hace3",34.8724669251305,-20.395971692242,33.7597844793735,61.9177321244406
"num_var22_ult1",9.77072533857642,2.85995658781051,10.4534720059279,53.2240468353661
"var36",12.8738691184288,-11.1799918795297,12.7765591757218,47.8513962821668
"num_med_var22_ult3",18.6478973825529,-10.8845193099427,18.5459033311344,42.3679636068929
"num_var4",14.0263378920567,-11.2139624712129,14.1992656091996,41.9915512315751
"num_meses_var39_vig_ult3",12.3292757399058,-7.35573978601683,12.8440431734798,40.3297100605542
"num_meses_var5_ult3",11.1631917198582,-11.3025000130438,10.8040720602843,39.9846802350299
"num_var43_recib_ult1",7.9026496780651,-4.91489349601912,7.88983338484353,24.064570052428
"ind_var30",7.1764797575087,-7.14602274952531,7.09963809839655,22.434101550174
"num_var41_0",8.08376379209507,-6.62624540642848,8.26722803404799,20.5387795419693
"num_var30",7.16056589530129,-5.89290668405398,7.25635818937436,19.6424975698097
"num_var30_0",19.6288843360375,-13.2347561892119,19.1032512707436,16.0303463553318
"ind_var43_emit_ult1",6.40664253625988,-5.16270550990202,6.22693478301347,12.7775919237905
"num_var42",4.76226755754468,-4.72300364467578,4.72084690132709,12.0928094267839
"ind_var43_recib_ult1",8.74599476581476,-4.61178653988611,9.32164221084822,12.0076090662232
"num_var42_0",20.3674323154598,-12.1071030754358,19.8343521061807,11.9957865204803
"ind_var39_0",8.43948519977176,-6.58246926277666,8.61195350337613,10.1972543279756
"num_var5",5.08124387756451,-4.50833194261229,5.11581646356918,9.54432576835565
"ind_var10cte_ult1",11.4990090434924,-8.29482489796949,11.3875563758523,9.51087605245389
"ind_var10_ult1",9.44741088926178,-9.22634798435519,9.16462356719563,9.17866686406255
"ind_var37_cte",10.4276422230851,-8.85000725374267,10.0220178191671,9.07488891270358
"ind_var37_0",8.52330810187406,-9.5110504910729,8.03732746691969,9.01226794767567
"num_var12_0",12.9245142609803,-7.96172311943808,12.8929008311869,5.75223804555216
"ind_var12_0",12.6978357826525,-7.25700522215016,12.6798684933953,5.37936250567652
"ind_var13_0",8.95320537381374,-0.854916689096291,8.97813254721025,4.30854432509699
